C9,16,8,Liquid
Liquid,10,16,C9
coL,4,16,OpTic
OpTic,16,6,coL
C9,16,5,IMT
IMT,24,16,C9
Liquid,10,16,Fox
FOX,19,16,Liquid
SLS,13,16,Fox
FOX,16,14,SLS
coL,7,16,IMT
IMT,12,16,coL
Liquid,16,3,OpTic
OpTic,20,22,Liquid
SLS,1,16,IMT
IMT,16,8,SLS
eU,7,16,Fox
FOX,16,8,eU
C9,16,3,OpTic
OpTic,12,16,C9
SPY,16,14,coL
coL,16,11,SPY
eU,10,16,IMT
IMT,10,16,eU
OpTic,16,2,eU
SPY,7,16,IMT
eU,12,16,OpTic
IMT,16,4,SPY
SLS,16,13,WFX
C9,16,9,coL
WFX,19,16,SLS
coL,5,16,C9
C9,16,11,CLG
NRG,6,16,IMT
CLG,10,16,C9
IMT,16,7,NRG
OpTic,16,13,RNG
Liquid,16,14,WFX
RNG,16,12,OpTic
WFX,11,16,Liquid
NRG,16,8",eU
C9,16,12,RNG
eU,8,16,NRG
RNG,16,19,C9
CLG,11,16,WFX
Liquid,16,10,SLS
WFX,16,13,C9
SK,13,16,Liquid
C9,16,6,eU
SLS,15,19,CLG
eU,8,16,C9
CLG,5,16,SLS
RNG,2,16,IMT
SK,16,14,NRG
IMT,16,13,RNG
NRG,7,16,SK
SK,12,16,RNG
RNG,16,0,SK
WFX,5,16,NRG
NRG,16,5,WFX
Liquid,10,16,RNG
RNG,16,12,Liquid
SK,W,FF,WFX
WFX,FF,W,SK
SLS,12,16,eU
eU,6,16,SLS
WFX,16,12,eU
eU,11,16,WFX
OpTic,16,8,SPY
SPY,9,16,OpTic
NRG,16,11,Fox
FOX,9,16,NRG
